gene_id	gene_short_name	E12.5_DFL_WT_RNAseq_rep1	E12.5_DFL_WT_RNAseq_rep2	E12.5_DFL_WT_RNAseq_rep3	E12.5_DFL_DelCBS1.3_RNAseq_rep1	E12.5_DFL_DelCBS1.3_RNAseq_rep2	E12.5_DFL_DelCBS1.3_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000057722	Lepr	133.509240690217	173.875091253	125.927355678671	118.900204742897	170.262704080465	85.7499209131954	134.704086226408	0.211128768524855	0.251822517846037	0.838403055972691	0.401804373707851	0.994502881406078
ENSMUSG00000058441	Panx2	50.9064011264857	25.6860930260113	40.8178325303278	56.8653153118204	47.9935139018761	40.8332956729502	43.8504085949119	-0.309631395139028	0.368501913904381	-0.840243655340609	0.400771785968343	0.994502881406078
ENSMUSG00000059326	Csf2ra	212.270087716101	212.404230792017	211.905343348936	205.749049946405	218.256217982341	149.041529206268	201.604409832011	0.153571046678647	0.181430292557444	0.846446558145874	0.397303674928706	0.994502881406078
ENSMUSG00000061371	Zfp873	194.981121295785	236.114470508335	176.298297950139	176.799434878569	202.258380015049	167.416512259096	192.311369484495	0.152189279466993	0.181770539983814	0.837260424492031	0.402446199436641	0.994502881406078
ENSMUSG00000063383	Zfp947	27.8544458993978	31.6136529550908	26.0539356576561	27.9157002439846	14.8551352553426	22.4583126201226	25.1251971052658	0.384737289171242	0.458568930936659	0.838995542906471	0.401471810744493	0.994502881406078
ENSMUSG00000066880	Zfp617	170.968667934235	163.995824704534	165.876723687077	143.714160515328	154.264866113173	153.124858773563	158.657516954652	0.151213796639273	0.180502808106299	0.837736532886636	0.402178690669089	0.994502881406078
ENSMUSG00000066979	Bub3	2731.65669440991	2688.14842783757	2939.75240670553	2906.33456984595	2733.34488698304	3070.66383460585	2844.98347006464	-0.059337474565699	0.0705465321785892	-0.841111146547724	0.400285671188852	0.994502881406078
ENSMUSG00000067219	Nipal1	14.4074720169299	11.8551198581591	13.026967828828	7.23740376695896	9.14162169559545	10.2083239182375	10.9794848474515	0.563871132313854	0.667810570197908	0.844357902491344	0.398469439039958	0.994502881406078
ENSMUSG00000068617	Efcab1	115.259776135439	108.671932033125	132.875071854046	135.442841924518	129.125406450286	137.812372896207	126.531233548937	-0.172168743157557	0.205109153901109	-0.839400581997263	0.401244557380898	0.994502881406078
ENSMUSG00000070044	Fam149a	375.55477057464	383.315542080477	372.571279904482	382.548484824974	435.369733252733	398.124632811264	391.247407241428	-0.103326135706891	0.122821335176721	-0.841271881291807	0.400195639426823	0.994502881406078
