gene_id	gene_short_name	E12.5_DFL_WT_RNAseq_rep1	E12.5_DFL_WT_RNAseq_rep2	E12.5_DFL_WT_RNAseq_rep3	E12.5_DFL_DelCBS1_RNAseq_rep1	E12.5_DFL_DelCBS1_RNAseq_rep2	E12.5_DFL_DelCBS1_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000032977	Fam207a	882.42435723287	827.333432521694	986.565970686551	925.408486996236	889.309541214879	894.774382504907	900.969361859523	-0.00564658554384957	0.0925419307699112	-0.0610165089151727	0.951346061339342	0.999970709381425
ENSMUSG00000032985	5730522E02Rik	11.0933347766418	6.22055212422327	15.4862617743965	9.03939914037838	16.450774973507	9.48859366389085	11.2964860755063	-0.0898002420892724	0.676161206181862	-0.132808923771825	0.894344496733007	0.999970709381425
ENSMUSG00000032997	Chpf	403.393991877883	358.718505830208	485.539854456077	413.552510672311	439.332461057187	496.253448621492	432.79846208586	-0.11226785997279	0.136002199305819	-0.825485621157793	0.409095942717717	0.999970709381425
ENSMUSG00000032998	Foxj3	1312.03895858282	1433.83726463346	1256.20911687604	1273.4253539008	1238.64658624053	1277.16470715971	1298.55366456556	0.0783097515276922	0.0793550486177613	0.986827591838497	0.32372716584443	0.999970709381425
ENSMUSG00000033004	Mycbp2	2560.54336344487	3000.37964125036	2523.34971265166	2501.65371209972	2558.57935470309	2586.59063277665	2621.84940282106	0.0796924379493454	0.0752033586119044	1.05969253794378	0.289284498683506	0.999970709381425
ENSMUSG00000033006	Sox10	70.5939485786296	130.631594608689	60.1231339476569	106.212939899446	63.8677146030272	72.1133118455705	83.9237739138364	0.110696011483085	0.317639677576729	0.348495541638827	0.727468061490581	0.999970709381425
ENSMUSG00000033009	Ogfod1	520.37824952247	600.283279987545	583.923164552243	534.454474174871	537.069418252729	507.639761018161	547.291391251336	0.11072514767652	0.106776992148808	1.03697571403968	0.299747175619407	0.999970709381425
ENSMUSG00000033014	Trim33	2578.69609307937	2796.13817983836	2516.97301662691	2578.48860479293	2320.52696390999	2545.78968002192	2556.10208971158	0.0841258121485298	0.0704324469251891	1.19441842249049	0.232314334009288	0.999970709381425
ENSMUSG00000033016	Nfatc1	1548.02444383138	1841.28342877009	1381.92112422114	1708.44643753151	1355.73739634608	1702.25370330202	1589.61108900037	0.00122141416765717	0.109286063301543	0.0111763030962789	0.991082785954176	0.999970709381425
ENSMUSG00000033020	Polr2f	696.863120969044	598.209762612804	725.12143367174	671.175386173094	733.511025289312	740.110305783487	694.16517241658	-0.0862795180488108	0.104357100628337	-0.826771896970298	0.408366361556907	0.999970709381425
